Customer_ID,Name,Gender,DoB,Address_1,Address_2,City,Zip,Country
1,MR.PAULSHELTON,M,01-02-1908,225," Hanson Stravenue Spring"," Porterville"," 30001"," US"
2,MRS.LISACLARKE,F,06-03-1928,95071," Jamie Street Plain"," Bourbonnais"," 30080"," US"
3,DR.LEEHARRISON,M,12-30-2019,84857," Joshua Cape Course"," Nutley"," 30024"," US"
4,MS.CHLOEJONES,F,05-21-2012,538," Paul Forge Ports"," Palestine"," 30020"," US"
5,MRS.KRISTENJACKSON,F,11-13-1910,253," Cordova Run Rapid"," Acworth"," 30060"," US"
6,MISSMONICAPITTS,F,10-10-1930,8551," Shari Underpass Mews"," Beaumont"," 30071"," US"
7,MRS.KATELYNGORDON,F,11-21-1928,88933," James Street Spurs"," Thomasville"," 30052"," US"
8,MR.CORYNEWTON,M,08-25-2013,920," Gregory Fall Mews"," Nutley"," 30023"," US"
9,MR.DANIELLEE,M,11-05-1917,23384," Randall Pines Square"," Gates-North Gates"," 30020"," US"
10,MR.JUSTINROSS,M,12-08-2009,801," Jake Union Bridge"," Vestavia Hills"," 30098"," US"
11,MRS.JILLTAYLOR,F,08-13-1985,638," Hansen Circle Views"," Hutchinson"," 30066"," US"
12,MR.ANTHONYWALKER,M,06-03-2020,698," Michael Heights Fort"," Indio"," 30049"," US"
13,MISSSANDRAANDERSON,F,08-02-2017,169," Prince Port Motorway"," Longview"," 30072"," US"
14,MRS.TIFFANYSCHROEDER,F,02-27-1957,9538," Thomas Mission Prairie"," Grand Forks"," 30024"," US"
15,DR.ZACHARYSIMPSON,M,03-26-1968,6446," Hunter Lights Brooks"," Fitchburg"," 30074"," US"
16,DR.CHRISTINABANKS,F,07-25-1997,440," Robinson Village Hill"," Acworth"," 30038"," US"
17,MR.TONYMILLER,M,12-16-1956,82609," Michael Burgs Knoll"," San Juan"," 30094"," US"
18,MR.BILLYROBINSON,M,04-19-1996,80929," Charles Mews Trail"," Laguna Niguel"," 30099"," US"
19,MS.JENNADIAZ,F,03-08-1969,8716," Jenna Haven Corners"," Murray"," 30074"," US"
20,MRS.ROBINDAVIS,F,03-12-1906,1487," Alicia Street Mission"," Indio"," 30011"," US"
21,MISSANAORTIZ,F,03-30-1960,2888," Huff Overpass Junction"," Santa Maria"," 30001"," US"
22,DR.MARTINLEE,M,07-21-2001,267," Smith Field Islands"," Leland"," 30031"," US"
23,MRS.LAURAROBINSON,F,03-05-1907,3814," Sanders Flat Vista"," Kensington"," 30025"," US"
24,DR.HALEYSTAFFORD,F,12-08-2020,2540," Smith Walk Mountains"," Far Rockaway"," 30048"," US"
25,DR.CHARLESBUTLER,M,03-09-1935,5968," Scott Estates Isle"," Sterling"," 30048"," US"
26,MR.PATRICKWILLIAMS,M,02-09-1920,9192," Williams Field Island"," Norwalk"," 30031"," US"
27,MRS.DONNAWARD,F,05-31-1909,6455," Woodard Flat Lake"," Glendale"," 30084"," US"
